Απόσταση από το αστυνομικό τμήμα που ανέλαβε την έρευνα για το περιστατικό:
(a)
+----+----------+------------------+
|Year|num_crimes|  average_distance|
+----+----------+------------------+
|2010|      8213| 4.315547525861609|
|2011|      7232|2.7931783031826134|
|2012|      6550|37.401521647671025|
|2013|      5838| 2.826412721201962|
|2014|      4230|11.631025289489838|
|2015|      6763|  2.70609799276239|
|2016|      8100|2.7176445421299724|
|2017|      7788| 5.955847913803834|
|2018|      7413| 2.732823649229879|
|2019|      7129|2.7399419721721476|
|2020|      8491| 8.614767812336167|
|2021|      9767| 30.97834129556094|
|2022|     10025|  2.60865618645079|
|2023|      8741|2.5551410574543145|
+----+----------+------------------+

(b)
+---------------+----------+------------------+
|       DIVISION|num_crimes|  average_distance|
+---------------+----------+------------------+
|    77TH STREET|     94474|13.162079052889169|
|      SOUTHEAST|     72832|14.527525557922345|
|      SOUTHWEST|     72461| 9.898850561769162|
|        CENTRAL|     63264|23.466578376496436|
|         NEWTON|     61160|13.979683650325562|
|        RAMPART|     55611|19.847575514305305|
|      HOLLYWOOD|     50958|27.846180453246344|
|        OLYMPIC|     48886| 17.19463769893097|
|        PACIFIC|     42760|25.072161839219607|
|     HOLLENBECK|     41393|19.600667247278746|
|        MISSION|     40880|21.330305780965872|
|         HARBOR|     40637|14.160243637196546|
|NORTH HOLLYWOOD|     39542|17.184089891996653|
|       WILSHIRE|     37712|16.080369127182834|
|      NORTHEAST|     37101|12.799215742840445|
|       VAN NUYS|     36080| 19.92610084395629|
|    WEST VALLEY|     33694|15.344662228609367|
|        TOPANGA|     32340| 7.019388768312766|
|       FOOTHILL|     32337|16.293601573548496|
|     DEVONSHIRE|     28673| 16.71129045491336|
+---------------+----------+------------------+
only showing top 20 rows

Απόσταση από το πλησιέστερο αστυνομικό τμήμα:
(a)
+----+----------+------------------+
|Year|num_crimes|  average_distance|
+----+----------+------------------+
|2010|      8213| 3.965480506097993|
|2011|      7232|  2.46181888566459|
|2012|      6550| 37.04806556244542|
|2013|      5838|2.4561803379459084|
|2014|      4230|11.240705060052028|
|2015|      6763|  2.38790278176303|
|2016|      8100|2.4291509215379303|
|2017|      7788| 5.620278866952371|
|2018|      7413| 2.409083506096955|
|2019|      7129|2.4301661049761214|
|2020|      8491| 8.305664894299344|
|2021|      9767|30.666116941658924|
|2022|     10025|2.3129679282459743|
|2023|      8741|2.2716948056968675|
+----+----------+------------------+

(b)
+----------------+----------+------------------+
|        DIVISION|num_crimes|  average_distance|
+----------------+----------+------------------+
|     77TH STREET|     78830|1.6735955739672674|
|       SOUTHWEST|     78068| 2.161146839862122|
|       HOLLYWOOD|     70652|1.9193991303646156|
|       SOUTHEAST|     66697|  2.22223281229674|
|         OLYMPIC|     60553|1.6657781632089452|
|         CENTRAL|     59420| 0.866802366302343|
|        WILSHIRE|     58032|2.4783030061160027|
|         RAMPART|     56297| 1.361662592838379|
|        VAN NUYS|     55252|2.8073800912108116|
|          NEWTON|     45398|1.5998998286047477|
|      HOLLENBECK|     43128| 326.0868010778892|
|         PACIFIC|     40356| 3.845258334030655|
| NORTH HOLLYWOOD|     40174|2.5926392412493717|
|          HARBOR|     39433| 3.686751365873389|
|        FOOTHILL|     38327| 3.977261444227064|
|     WEST VALLEY|     34804| 2.850125414289692|
|         TOPANGA|     32648| 3.045398368787074|
|       NORTHEAST|     27283| 3.765925137599394|
|         MISSION|     27016|3.7840372209112974|
|WEST LOS ANGELES|     22376| 2.712234758681144|
+----------------+----------+------------------+
only showing top 20 rows

